sample	cutoff	miss	Genetic_load	N_del
PI533936_PI533936	10%	miss50	-603534.430893	49566
PI533937_PI533937	10%	miss50	-615476.8024086	50615
PI533938_PI533938	10%	miss50	-590728.8750733	49825
PI533939_PI533939	10%	miss50	-627191.5511451	59150
PI533940_PI533940	10%	miss50	-646499.7498393	53226
PI533943_PI533943	10%	miss50	-708969.073942	59521
PI533948_PI533948	10%	miss50	-628132.1383908	51161
PI533949_PI533949	10%	miss50	-546147.8514609	44907
PI533954_PI533954	10%	miss50	-709113.061636001	58895
PI533955_PI533955	10%	miss50	-625719.1475897	51243
PI533956_PI533956	10%	miss50	-579779.8490129	47967
PI533957_PI533957	10%	miss50	-664756.6783665	55310
PI533961_PI533961	10%	miss50	-638118.9025436	52647
PI533962_PI533962	10%	miss50	-529237.2233698	44110
